file,rows,cols,nnz,initial_diag,rcm_final_diag,rcm_time,gorder_w10_final_diag,gorder_w10_time,gorder_w50_final_diag,gorder_w50_time,gorder_w100_final_diag,gorder_w100_time,hs_final_diag,hs_time,rcmhs_final_diag,rcmhs_time,gorderhs_w10_final_diag,gorderhs_w10_time,gorderhs_w50_final_diag,gorderhs_w50_time,gorderhs_w100_final_diag,gorderhs_w100_time
permuted_1024_40,1024,1024,38779,1024,1024,2,1024.0,4.0,1024.0,4.0,1024.0,4.0,1024.0,252405.0,1024.0,277594.0,1024.0,275188.0,1024.0,277344.0,1024.0,279376.0
permuted_1024_160,1024,1024,155660,1024,1024,6,1024.0,10.0,1024.0,11.0,1024.0,12.0,1024.0,602153.0,1024.0,602357.0,1024.0,601409.0,1024.0,602610.0,1024.0,600345.0
permuted_512_160,512,512,77835,512,512,3,512.0,5.0,512.0,6.0,512.0,6.0,512.0,235896.0,512.0,260957.0,512.0,261305.0,512.0,261419.0,512.0,261238.0
permuted_512_80,512,512,38993,512,512,1,512.0,3.0,512.0,3.0,512.0,4.0,512.0,121338.0,512.0,133619.0,512.0,133740.0,512.0,133730.0,512.0,133584.0
permuted_4096_1280,4096,4096,4980288,4096,4096,180,4096.0,278.0,4096.0,282.0,4096.0,287.0,4096.0,664713.0,4096.0,664879.0,4096.0,663583.0,4096.0,666790.0,4096.0,661343.0
permuted_256_20,256,256,4852,256,256,0,256.0,0.0,256.0,0.0,256.0,2.0,256.0,4538.0,256.0,4836.0,256.0,4852.0,256.0,4837.0,256.0,4846.0
permuted_512_20,512,512,9781,512,512,0,512.0,2.0,512.0,2.0,512.0,2.0,512.0,35446.0,512.0,37497.0,512.0,37511.0,512.0,37585.0,512.0,37517.0
permuted_2048_160,2048,2048,311074,2048,2048,12,2048.0,21.0,2048.0,22.0,2048.0,23.0,2048.0,604655.0,2048.0,601935.0,2048.0,601705.0,2048.0,601856.0,2048.0,602066.0
permuted_2048_640,2048,2048,1242787,2048,2048,45,2048.0,69.0,2048.0,71.0,2048.0,75.0,2048.0,602175.0,2048.0,616335.0,2048.0,614872.0,2048.0,615055.0,2048.0,613773.0
permuted_2048_80,2048,2048,154918,2048,2048,6,2048.0,13.0,2048.0,13.0,2048.0,13.0,2048.0,600718.0,2048.0,602068.0,2048.0,601029.0,2048.0,601563.0,2048.0,600999.0
permuted_256_80,256,256,19594,256,256,0,256.0,1.0,256.0,2.0,256.0,2.0,256.0,15888.0,256.0,17331.0,256.0,17341.0,256.0,17370.0,256.0,17395.0
permuted_1024_320,1024,1024,311589,1024,1024,11,1024.0,18.0,1024.0,20.0,1024.0,21.0,1024.0,602229.0,1024.0,600533.0,1024.0,600838.0,1024.0,601767.0,1024.0,603060.0
permuted_4096_640,4096,4096,2486649,4096,4096,91,4096.0,147.0,4096.0,148.0,4096.0,151.0,4096.0,624151.0,4096.0,626319.0,4096.0,619330.0,4096.0,628565.0,4096.0,621009.0
permuted_256_40,256,256,9769,256,256,0,256.0,1.0,256.0,1.0,256.0,2.0,256.0,8313.0,256.0,8991.0,256.0,9004.0,256.0,9028.0,256.0,9022.0
permuted_1024_80,1024,1024,77841,1024,1024,3,1024.0,6.0,1024.0,6.0,1024.0,7.0,1024.0,499490.0,1024.0,531329.0,1024.0,530905.0,1024.0,531468.0,1024.0,531511.0
permuted_2048_320,2048,2048,622766,2048,2048,23,2048.0,38.0,2048.0,40.0,2048.0,41.0,2048.0,604526.0,2048.0,608099.0,2048.0,607319.0,2048.0,608108.0,2048.0,604892.0
permuted_256_10,256,256,2457,256,256,0,256.0,0.0,256.0,0.0,256.0,0.0,252.0,6608.0,254.0,4538.0,251.0,8588.0,252.0,5518.0,252.0,6441.0
permuted_4096_160,4096,4096,623202,4096,4096,24,4096.0,45.0,4096.0,45.0,4096.0,46.0,4096.0,609303.0,4096.0,607756.0,4096.0,606788.0,4096.0,607555.0,4096.0,606309.0
permuted_4096_320,4096,4096,1246553,4096,4096,46,4096.0,79.0,4096.0,81.0,4096.0,81.0,4096.0,614941.0,4096.0,608286.0,4096.0,603771.0,4096.0,603713.0,4096.0,603801.0
permuted_512_40,512,512,19408,512,512,1,512.0,2.0,512.0,2.0,512.0,2.0,512.0,63353.0,512.0,70047.0,512.0,69208.0,512.0,69173.0,512.0,69182.0
can_256,256,256,1586,256,195,0,253.0,0.0,256.0,1.0,256.0,1.0,250.0,4929.0,195.0,3028.0,240.0,8039.0,246.0,7524.0,248.0,5457.0
